Genome project	Gene stable ID	ID
strongyloides_stercoralis_prjeb528	SSTP_0000036100	
strongyloides_stercoralis_prjeb528	SSTP_0000036200	
strongyloides_stercoralis_prjeb528	SSTP_0000045900	PF03911
strongyloides_stercoralis_prjeb528	SSTP_0000046600	PF17906
strongyloides_stercoralis_prjeb528	SSTP_0000046600	PF13412
strongyloides_stercoralis_prjeb528	SSTP_0000046600	PF01359
strongyloides_stercoralis_prjeb528	SSTP_0000050100	
strongyloides_stercoralis_prjeb528	SSTP_0000051450	PF00595
strongyloides_stercoralis_prjeb528	SSTP_0000052000	PF01641
strongyloides_stercoralis_prjeb528	SSTP_0000052900	PF01249
strongyloides_stercoralis_prjeb528	SSTP_0000055700	PF00857
strongyloides_stercoralis_prjeb528	SSTP_0000056900	
strongyloides_stercoralis_prjeb528	SSTP_0000058100	PF00149
strongyloides_stercoralis_prjeb528	SSTP_0000059400	PF17906
strongyloides_stercoralis_prjeb528	SSTP_0000059400	PF01359
strongyloides_stercoralis_prjeb528	SSTP_0000059400	PF13412
strongyloides_stercoralis_prjeb528	SSTP_0000063400	
strongyloides_stercoralis_prjeb528	SSTP_0000063700	
strongyloides_stercoralis_prjeb528	SSTP_0000063800	
strongyloides_stercoralis_prjeb528	SSTP_0000063900	PF00246
strongyloides_stercoralis_prjeb528	SSTP_0000064000	
strongyloides_stercoralis_prjeb528	SSTP_0000064800	
strongyloides_stercoralis_prjeb528	SSTP_0000064900	PF00075
strongyloides_stercoralis_prjeb528	SSTP_0000065000	PF00078
strongyloides_stercoralis_prjeb528	SSTP_0000065000	PF17919
strongyloides_stercoralis_prjeb528	SSTP_0000065300	
strongyloides_stercoralis_prjeb528	SSTP_0000066000	
strongyloides_stercoralis_prjeb528	SSTP_0000067100	PF17921
strongyloides_stercoralis_prjeb528	SSTP_0000067100	PF00665
strongyloides_stercoralis_prjeb528	SSTP_0000067100	PF17919
strongyloides_stercoralis_prjeb528	SSTP_0000067100	PF00078
strongyloides_stercoralis_prjeb528	SSTP_0000067200	PF13975
strongyloides_stercoralis_prjeb528	SSTP_0000067400	PF14214
strongyloides_stercoralis_prjeb528	SSTP_0000067500	PF00078
strongyloides_stercoralis_prjeb528	SSTP_0000067800	
strongyloides_stercoralis_prjeb528	SSTP_0000067900	
strongyloides_stercoralis_prjeb528	SSTP_0000068000	
strongyloides_stercoralis_prjeb528	SSTP_0000068100	
strongyloides_stercoralis_prjeb528	SSTP_0000068400	
strongyloides_stercoralis_prjeb528	SSTP_0000070900	PF00069
strongyloides_stercoralis_prjeb528	SSTP_0000074400	
strongyloides_stercoralis_prjeb528	SSTP_0000074476	
strongyloides_stercoralis_prjeb528	SSTP_0000076000	
strongyloides_stercoralis_prjeb528	SSTP_0000077000	PF02881
strongyloides_stercoralis_prjeb528	SSTP_0000077000	PF00448
strongyloides_stercoralis_prjeb528	SSTP_0000077000	PF04086
strongyloides_stercoralis_prjeb528	SSTP_0000077900	PF15879
strongyloides_stercoralis_prjeb528	SSTP_0000078700	
strongyloides_stercoralis_prjeb528	SSTP_0000080650	
strongyloides_stercoralis_prjeb528	SSTP_0000081100	
strongyloides_stercoralis_prjeb528	SSTP_0000083600	
strongyloides_stercoralis_prjeb528	SSTP_0000083700	PF00621
strongyloides_stercoralis_prjeb528	SSTP_0000083900	PF01549
strongyloides_stercoralis_prjeb528	SSTP_0000084800	
strongyloides_stercoralis_prjeb528	SSTP_0000088000	PF01545
strongyloides_stercoralis_prjeb528	SSTP_0000088300	PF04418
strongyloides_stercoralis_prjeb528	SSTP_0000089100	PF03489
strongyloides_stercoralis_prjeb528	SSTP_0000089800	PF13616
strongyloides_stercoralis_prjeb528	SSTP_0000091800	PF13412
strongyloides_stercoralis_prjeb528	SSTP_0000091800	PF01359
strongyloides_stercoralis_prjeb528	SSTP_0000091800	PF17906
strongyloides_stercoralis_prjeb528	SSTP_0000093300	
strongyloides_stercoralis_prjeb528	SSTP_0000094300	
strongyloides_stercoralis_prjeb528	SSTP_0000096600	
strongyloides_stercoralis_prjeb528	SSTP_0000097700	PF00632
strongyloides_stercoralis_prjeb528	SSTP_0000099100	
strongyloides_stercoralis_prjeb528	SSTP_0000101400	PF08585
strongyloides_stercoralis_prjeb528	SSTP_0000102500	PF13855
strongyloides_stercoralis_prjeb528	SSTP_0000102700	
strongyloides_stercoralis_prjeb528	SSTP_0000103400	
strongyloides_stercoralis_prjeb528	SSTP_0000103500	
strongyloides_stercoralis_prjeb528	SSTP_0000104300	
strongyloides_stercoralis_prjeb528	SSTP_0000113500	
strongyloides_stercoralis_prjeb528	SSTP_0000114366	
strongyloides_stercoralis_prjeb528	SSTP_0000114570	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000114600	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000114700	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000114800	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000115000	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000115100	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000115200	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000115300	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000115400	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000116300	
strongyloides_stercoralis_prjeb528	SSTP_0000120500	PF01592
strongyloides_stercoralis_prjeb528	SSTP_0000122200	PF17906
strongyloides_stercoralis_prjeb528	SSTP_0000122200	PF01359
strongyloides_stercoralis_prjeb528	SSTP_0000122200	PF13412
strongyloides_stercoralis_prjeb528	SSTP_0000125000	PF03439
strongyloides_stercoralis_prjeb528	SSTP_0000130900	
strongyloides_stercoralis_prjeb528	SSTP_0000131600	
strongyloides_stercoralis_prjeb528	SSTP_0000131700	PF00254
strongyloides_stercoralis_prjeb528	SSTP_0000132100	
strongyloides_stercoralis_prjeb528	SSTP_0000133800	PF01603
strongyloides_stercoralis_prjeb528	SSTP_0000134000	
strongyloides_stercoralis_prjeb528	SSTP_0000135400	
strongyloides_stercoralis_prjeb528	SSTP_0000139600	PF09738
strongyloides_stercoralis_prjeb528	SSTP_0000140100	
strongyloides_stercoralis_prjeb528	SSTP_0000141500	PF07189
strongyloides_stercoralis_prjeb528	SSTP_0000143400	PF00410
strongyloides_stercoralis_prjeb528	SSTP_0000148900	
strongyloides_stercoralis_prjeb528	SSTP_0000149200	PF14625
strongyloides_stercoralis_prjeb528	SSTP_0000149200	PF00014
strongyloides_stercoralis_prjeb528	SSTP_0000149200	PF01683
strongyloides_stercoralis_prjeb528	SSTP_0000149300	
strongyloides_stercoralis_prjeb528	SSTP_0000149500	PF00100
strongyloides_stercoralis_prjeb528	SSTP_0000151100	PF10347
strongyloides_stercoralis_prjeb528	SSTP_0000151100	PF10293
strongyloides_stercoralis_prjeb528	SSTP_0000151100	PF10351
strongyloides_stercoralis_prjeb528	SSTP_0000151200	PF02535
strongyloides_stercoralis_prjeb528	SSTP_0000153400	
strongyloides_stercoralis_prjeb528	SSTP_0000154200	
strongyloides_stercoralis_prjeb528	SSTP_0000154600	PF01907
strongyloides_stercoralis_prjeb528	SSTP_0000156700	
strongyloides_stercoralis_prjeb528	SSTP_0000157600	
strongyloides_stercoralis_prjeb528	SSTP_0000158200	PF09382
strongyloides_stercoralis_prjeb528	SSTP_0000158200	PF00271
strongyloides_stercoralis_prjeb528	SSTP_0000158200	PF00270
strongyloides_stercoralis_prjeb528	SSTP_0000158200	PF16124
strongyloides_stercoralis_prjeb528	SSTP_0000158200	PF00570
strongyloides_stercoralis_prjeb528	SSTP_0000159000	
strongyloides_stercoralis_prjeb528	SSTP_0000162000	PF13896
strongyloides_stercoralis_prjeb528	SSTP_0000164100	PF05823
strongyloides_stercoralis_prjeb528	SSTP_0000164600	PF00026
strongyloides_stercoralis_prjeb528	SSTP_0000164800	PF00026
strongyloides_stercoralis_prjeb528	SSTP_0000165300	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000165300	PF00431
strongyloides_stercoralis_prjeb528	SSTP_0000166100	
strongyloides_stercoralis_prjeb528	SSTP_0000167100	PF00685
strongyloides_stercoralis_prjeb528	SSTP_0000167900	PF01281
strongyloides_stercoralis_prjeb528	SSTP_0000170300	PF01853
strongyloides_stercoralis_prjeb528	SSTP_0000170300	PF11717
strongyloides_stercoralis_prjeb528	SSTP_0000170300	PF17772
strongyloides_stercoralis_prjeb528	SSTP_0000174700	PF09090
strongyloides_stercoralis_prjeb528	SSTP_0000174700	PF09088
strongyloides_stercoralis_prjeb528	SSTP_0000175800	PF03666
strongyloides_stercoralis_prjeb528	SSTP_0000176200	PF00153
strongyloides_stercoralis_prjeb528	SSTP_0000178100	PF00431
strongyloides_stercoralis_prjeb528	SSTP_0000179100	
strongyloides_stercoralis_prjeb528	SSTP_0000180100	
strongyloides_stercoralis_prjeb528	SSTP_0000182800	
strongyloides_stercoralis_prjeb528	SSTP_0000183300	
strongyloides_stercoralis_prjeb528	SSTP_0000184100	
strongyloides_stercoralis_prjeb528	SSTP_0000184600	PF00069
strongyloides_stercoralis_prjeb528	SSTP_0000184700	PF00125
strongyloides_stercoralis_prjeb528	SSTP_0000187400	PF01920
strongyloides_stercoralis_prjeb528	SSTP_0000188300	
strongyloides_stercoralis_prjeb528	SSTP_0000190500	PF03901
strongyloides_stercoralis_prjeb528	SSTP_0000192200	PF02776
strongyloides_stercoralis_prjeb528	SSTP_0000192200	PF00205
strongyloides_stercoralis_prjeb528	SSTP_0000192200	PF02775
strongyloides_stercoralis_prjeb528	SSTP_0000192900	
strongyloides_stercoralis_prjeb528	SSTP_0000195400	PF03798
strongyloides_stercoralis_prjeb528	SSTP_0000197700	
strongyloides_stercoralis_prjeb528	SSTP_0000199500	PF07857
strongyloides_stercoralis_prjeb528	SSTP_0000200200	PF03268
strongyloides_stercoralis_prjeb528	SSTP_0000200300	PF00106
strongyloides_stercoralis_prjeb528	SSTP_0000202400	PF00443
strongyloides_stercoralis_prjeb528	SSTP_0000203000	PF00069
strongyloides_stercoralis_prjeb528	SSTP_0000209400	
strongyloides_stercoralis_prjeb528	SSTP_0000210000	PF00211
strongyloides_stercoralis_prjeb528	SSTP_0000210000	PF01094
strongyloides_stercoralis_prjeb528	SSTP_0000210000	PF00069
strongyloides_stercoralis_prjeb528	SSTP_0000210700	PF10317
strongyloides_stercoralis_prjeb528	SSTP_0000213100	PF01679
strongyloides_stercoralis_prjeb528	SSTP_0000217100	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000218700	
strongyloides_stercoralis_prjeb528	SSTP_0000219300	
strongyloides_stercoralis_prjeb528	SSTP_0000220600	PF08719
strongyloides_stercoralis_prjeb528	SSTP_0000223500	PF01674
strongyloides_stercoralis_prjeb528	SSTP_0000223600	PF01674
strongyloides_stercoralis_prjeb528	SSTP_0000224800	PF06703
strongyloides_stercoralis_prjeb528	SSTP_0000225100	PF20511
strongyloides_stercoralis_prjeb528	SSTP_0000225100	PF20512
strongyloides_stercoralis_prjeb528	SSTP_0000226900	PF03489
strongyloides_stercoralis_prjeb528	SSTP_0000230300	
strongyloides_stercoralis_prjeb528	SSTP_0000230500	PF03034
strongyloides_stercoralis_prjeb528	SSTP_0000230600	PF10206
strongyloides_stercoralis_prjeb528	SSTP_0000232600	PF01920
strongyloides_stercoralis_prjeb528	SSTP_0000232700	
strongyloides_stercoralis_prjeb528	SSTP_0000232800	
strongyloides_stercoralis_prjeb528	SSTP_0000233800	PF01756
strongyloides_stercoralis_prjeb528	SSTP_0000233800	PF14749
strongyloides_stercoralis_prjeb528	SSTP_0000233800	PF02770
strongyloides_stercoralis_prjeb528	SSTP_0000235600	PF01255
strongyloides_stercoralis_prjeb528	SSTP_0000236400	PF13639
strongyloides_stercoralis_prjeb528	SSTP_0000237900	PF01770
strongyloides_stercoralis_prjeb528	SSTP_0000238000	PF01697
strongyloides_stercoralis_prjeb528	SSTP_0000239500	PF13896
strongyloides_stercoralis_prjeb528	SSTP_0000245100	
strongyloides_stercoralis_prjeb528	SSTP_0000245200	PF00657
strongyloides_stercoralis_prjeb528	SSTP_0000247416	PF02773
strongyloides_stercoralis_prjeb528	SSTP_0000247432	
strongyloides_stercoralis_prjeb528	SSTP_0000248700	PF03332
strongyloides_stercoralis_prjeb528	SSTP_0000249100	PF05486
strongyloides_stercoralis_prjeb528	SSTP_0000249500	PF00004
strongyloides_stercoralis_prjeb528	SSTP_0000249500	PF17872
strongyloides_stercoralis_prjeb528	SSTP_0000251100	PF00687
strongyloides_stercoralis_prjeb528	SSTP_0000251200	PF03647
strongyloides_stercoralis_prjeb528	SSTP_0000253800	
strongyloides_stercoralis_prjeb528	SSTP_0000254100	
strongyloides_stercoralis_prjeb528	SSTP_0000254200	
strongyloides_stercoralis_prjeb528	SSTP_0000256800	PF17906
strongyloides_stercoralis_prjeb528	SSTP_0000256800	PF01359
strongyloides_stercoralis_prjeb528	SSTP_0000259600	PF01359
strongyloides_stercoralis_prjeb528	SSTP_0000259600	PF13412
strongyloides_stercoralis_prjeb528	SSTP_0000259600	PF17906
strongyloides_stercoralis_prjeb528	SSTP_0000259900	
strongyloides_stercoralis_prjeb528	SSTP_0000261400	PF01060
strongyloides_stercoralis_prjeb528	SSTP_0000261600	PF01060
strongyloides_stercoralis_prjeb528	SSTP_0000261700	
strongyloides_stercoralis_prjeb528	SSTP_0000261800	
strongyloides_stercoralis_prjeb528	SSTP_0000262900	
strongyloides_stercoralis_prjeb528	SSTP_0000266600	
strongyloides_stercoralis_prjeb528	SSTP_0000266700	
strongyloides_stercoralis_prjeb528	SSTP_0000266800	
strongyloides_stercoralis_prjeb528	SSTP_0000266900	PF17906
strongyloides_stercoralis_prjeb528	SSTP_0000266900	PF01359
strongyloides_stercoralis_prjeb528	SSTP_0000266900	PF13412
strongyloides_stercoralis_prjeb528	SSTP_0000267200	
strongyloides_stercoralis_prjeb528	SSTP_0000268200	
strongyloides_stercoralis_prjeb528	SSTP_0000268300	PF00046
strongyloides_stercoralis_prjeb528	SSTP_0000270000	PF00069
strongyloides_stercoralis_prjeb528	SSTP_0000270100	PF00092
strongyloides_stercoralis_prjeb528	SSTP_0000270700	
strongyloides_stercoralis_prjeb528	SSTP_0000270900	PF07679
strongyloides_stercoralis_prjeb528	SSTP_0000271000	
strongyloides_stercoralis_prjeb528	SSTP_0000271100	
strongyloides_stercoralis_prjeb528	SSTP_0000271200	
strongyloides_stercoralis_prjeb528	SSTP_0000272800	
strongyloides_stercoralis_prjeb528	SSTP_0000274100	
strongyloides_stercoralis_prjeb528	SSTP_0000274200	
strongyloides_stercoralis_prjeb528	SSTP_0000275600	PF00112
strongyloides_stercoralis_prjeb528	SSTP_0000276875	
strongyloides_stercoralis_prjeb528	SSTP_0000277400	
strongyloides_stercoralis_prjeb528	SSTP_0000278400	
strongyloides_stercoralis_prjeb528	SSTP_0000278500	
strongyloides_stercoralis_prjeb528	SSTP_0000278600	
strongyloides_stercoralis_prjeb528	SSTP_0000278700	
strongyloides_stercoralis_prjeb528	SSTP_0000278800	
strongyloides_stercoralis_prjeb528	SSTP_0000279800	
strongyloides_stercoralis_prjeb528	SSTP_0000283500	PF02931
strongyloides_stercoralis_prjeb528	SSTP_0000283600	
strongyloides_stercoralis_prjeb528	SSTP_0000286100	PF13927
strongyloides_stercoralis_prjeb528	SSTP_0000286100	PF07679
strongyloides_stercoralis_prjeb528	SSTP_0000286100	PF13895
strongyloides_stercoralis_prjeb528	SSTP_0000286100	PF07645
strongyloides_stercoralis_prjeb528	SSTP_0000288800	
strongyloides_stercoralis_prjeb528	SSTP_0000289133	PF00078
strongyloides_stercoralis_prjeb528	SSTP_0000289200	PF00078
strongyloides_stercoralis_prjeb528	SSTP_0000289300	
strongyloides_stercoralis_prjeb528	SSTP_0000290000	
strongyloides_stercoralis_prjeb528	SSTP_0000290100	
strongyloides_stercoralis_prjeb528	SSTP_0000290200	
strongyloides_stercoralis_prjeb528	SSTP_0000290400	
strongyloides_stercoralis_prjeb528	SSTP_0000291400	PF05334
strongyloides_stercoralis_prjeb528	SSTP_0000293100	
strongyloides_stercoralis_prjeb528	SSTP_0000294900	
strongyloides_stercoralis_prjeb528	SSTP_0000295300	
strongyloides_stercoralis_prjeb528	SSTP_0000296200	
strongyloides_stercoralis_prjeb528	SSTP_0000296850	
strongyloides_stercoralis_prjeb528	SSTP_0000298400	PF00270
strongyloides_stercoralis_prjeb528	SSTP_0000298400	PF00271
strongyloides_stercoralis_prjeb528	SSTP_0000300400	
strongyloides_stercoralis_prjeb528	SSTP_0000301100	PF17906
strongyloides_stercoralis_prjeb528	SSTP_0000301100	PF01359
strongyloides_stercoralis_prjeb528	SSTP_0000301100	PF13412
strongyloides_stercoralis_prjeb528	SSTP_0000302300	PF06682
strongyloides_stercoralis_prjeb528	SSTP_0000306600	PF01008
strongyloides_stercoralis_prjeb528	SSTP_0000306900	
strongyloides_stercoralis_prjeb528	SSTP_0000308900	PF00104
strongyloides_stercoralis_prjeb528	SSTP_0000308900	PF00105
strongyloides_stercoralis_prjeb528	SSTP_0000314000	PF00665
strongyloides_stercoralis_prjeb528	SSTP_0000314000	PF17921
strongyloides_stercoralis_prjeb528	SSTP_0000314000	PF00078
strongyloides_stercoralis_prjeb528	SSTP_0000314000	PF17919
strongyloides_stercoralis_prjeb528	SSTP_0000316000	
strongyloides_stercoralis_prjeb528	SSTP_0000318300	
strongyloides_stercoralis_prjeb528	SSTP_0000319800	PF10545
strongyloides_stercoralis_prjeb528	SSTP_0000319800	PF02944
strongyloides_stercoralis_prjeb528	SSTP_0000321100	PF00046
strongyloides_stercoralis_prjeb528	SSTP_0000322300	PF10323
strongyloides_stercoralis_prjeb528	SSTP_0000322900	PF05746
strongyloides_stercoralis_prjeb528	SSTP_0000322900	PF00750
strongyloides_stercoralis_prjeb528	SSTP_0000323700	PF00270
strongyloides_stercoralis_prjeb528	SSTP_0000323700	PF00271
strongyloides_stercoralis_prjeb528	SSTP_0000323800	PF00069
strongyloides_stercoralis_prjeb528	SSTP_0000328800	
strongyloides_stercoralis_prjeb528	SSTP_0000329100	PF00431
strongyloides_stercoralis_prjeb528	SSTP_0000329100	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000329200	PF00431
strongyloides_stercoralis_prjeb528	SSTP_0000329200	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000329900	PF09606
strongyloides_stercoralis_prjeb528	SSTP_0000334100	PF00270
strongyloides_stercoralis_prjeb528	SSTP_0000334200	
strongyloides_stercoralis_prjeb528	SSTP_0000334500	
strongyloides_stercoralis_prjeb528	SSTP_0000334600	PF00069
strongyloides_stercoralis_prjeb528	SSTP_0000337300	
strongyloides_stercoralis_prjeb528	SSTP_0000343900	
strongyloides_stercoralis_prjeb528	SSTP_0000344000	
strongyloides_stercoralis_prjeb528	SSTP_0000345200	PF00102
strongyloides_stercoralis_prjeb528	SSTP_0000345500	PF00102
strongyloides_stercoralis_prjeb528	SSTP_0000346500	PF00226
strongyloides_stercoralis_prjeb528	SSTP_0000347500	PF00447
strongyloides_stercoralis_prjeb528	SSTP_0000354900	PF07885
strongyloides_stercoralis_prjeb528	SSTP_0000354900	PF02888
strongyloides_stercoralis_prjeb528	SSTP_0000354900	PF03530
strongyloides_stercoralis_prjeb528	SSTP_0000358500	PF13412
strongyloides_stercoralis_prjeb528	SSTP_0000358500	PF01359
strongyloides_stercoralis_prjeb528	SSTP_0000358500	PF17906
strongyloides_stercoralis_prjeb528	SSTP_0000358800	
strongyloides_stercoralis_prjeb528	SSTP_0000361000	
strongyloides_stercoralis_prjeb528	SSTP_0000363200	
strongyloides_stercoralis_prjeb528	SSTP_0000363400	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000364850	PF10323
strongyloides_stercoralis_prjeb528	SSTP_0000364900	PF10323
strongyloides_stercoralis_prjeb528	SSTP_0000364910	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000365500	
strongyloides_stercoralis_prjeb528	SSTP_0000365700	
strongyloides_stercoralis_prjeb528	SSTP_0000365800	PF00858
strongyloides_stercoralis_prjeb528	SSTP_0000365900	PF01060
strongyloides_stercoralis_prjeb528	SSTP_0000366400	
strongyloides_stercoralis_prjeb528	SSTP_0000367300	PF02995
strongyloides_stercoralis_prjeb528	SSTP_0000367500	
strongyloides_stercoralis_prjeb528	SSTP_0000368000	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000368100	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000368500	
strongyloides_stercoralis_prjeb528	SSTP_0000373400	
strongyloides_stercoralis_prjeb528	SSTP_0000374400	PF08571
strongyloides_stercoralis_prjeb528	SSTP_0000376200	PF00083
strongyloides_stercoralis_prjeb528	SSTP_0000376400	
strongyloides_stercoralis_prjeb528	SSTP_0000377800	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000377900	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000378000	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000378200	PF17906
strongyloides_stercoralis_prjeb528	SSTP_0000378200	PF13412
strongyloides_stercoralis_prjeb528	SSTP_0000378200	PF01359
strongyloides_stercoralis_prjeb528	SSTP_0000378800	
strongyloides_stercoralis_prjeb528	SSTP_0000380100	PF04870
strongyloides_stercoralis_prjeb528	SSTP_0000380300	
strongyloides_stercoralis_prjeb528	SSTP_0000380500	
strongyloides_stercoralis_prjeb528	SSTP_0000381200	PF00112
strongyloides_stercoralis_prjeb528	SSTP_0000382700	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000382800	
strongyloides_stercoralis_prjeb528	SSTP_0000383300	PF00135
strongyloides_stercoralis_prjeb528	SSTP_0000383400	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000383500	
strongyloides_stercoralis_prjeb528	SSTP_0000383600	PF00135
strongyloides_stercoralis_prjeb528	SSTP_0000383700	PF07914
strongyloides_stercoralis_prjeb528	SSTP_0000384300	
strongyloides_stercoralis_prjeb528	SSTP_0000386200	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000386300	PF01400
strongyloides_stercoralis_prjeb528	SSTP_0000386500	
strongyloides_stercoralis_prjeb528	SSTP_0000387100	PF04241
strongyloides_stercoralis_prjeb528	SSTP_0000388200	
strongyloides_stercoralis_prjeb528	SSTP_0000389300	
strongyloides_stercoralis_prjeb528	SSTP_0000390400	
strongyloides_stercoralis_prjeb528	SSTP_0000390500	
strongyloides_stercoralis_prjeb528	SSTP_0000390600	PF17906
strongyloides_stercoralis_prjeb528	SSTP_0000390600	PF13412
strongyloides_stercoralis_prjeb528	SSTP_0000390600	PF01359
strongyloides_stercoralis_prjeb528	SSTP_0000390800	
strongyloides_stercoralis_prjeb528	SSTP_0000391500	
strongyloides_stercoralis_prjeb528	SSTP_0000391600	PF06984
strongyloides_stercoralis_prjeb528	SSTP_0000392000	
strongyloides_stercoralis_prjeb528	SSTP_0000394400	PF03372
strongyloides_stercoralis_prjeb528	SSTP_0000395800	PF03770
strongyloides_stercoralis_prjeb528	SSTP_0000395900	
strongyloides_stercoralis_prjeb528	SSTP_0000396200	PF00385
strongyloides_stercoralis_prjeb528	SSTP_0000396900	PF00169
strongyloides_stercoralis_prjeb528	SSTP_0000397800	PF18699
strongyloides_stercoralis_prjeb528	SSTP_0000399100	
strongyloides_stercoralis_prjeb528	SSTP_0000399400	
strongyloides_stercoralis_prjeb528	SSTP_0000401100	
strongyloides_stercoralis_prjeb528	SSTP_0000401200	
strongyloides_stercoralis_prjeb528	SSTP_0000401900	PF00014
strongyloides_stercoralis_prjeb528	SSTP_0000401900	PF01683
strongyloides_stercoralis_prjeb528	SSTP_0000401900	PF14625
strongyloides_stercoralis_prjeb528	SSTP_0000402000	PF00076
strongyloides_stercoralis_prjeb528	SSTP_0000404300	
strongyloides_stercoralis_prjeb528	SSTP_0000404500	
strongyloides_stercoralis_prjeb528	SSTP_0000410400	
