HOG	selected_transcripts	exon_counts	protein_lengths	gene_counts	transcript_counts	worst_transcript	worst_pair	blast_pident	align_pident
N0.HOG0005073	SBOV2_90850.1, SCUR1_99380.1, SGUI1_92210.1, SHAE2_97250.1, SINT2_89810.1, SRDH2_94820.1, Smp_127120.1, EWB00_008576.2	10, 10, 10, 10, 10, 10, 10, 9	753, 751, 749, 752, 746, 765, 761, 707	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 2, 1, 1, 1, 1, 4	EWB00_008576.2	SRDH2_94820.1, EWB00_008576.2	76.9	94.11764705882352
N0.HOG0005072	SBOV2_90790.1, SCUR1_90450.1, SGUI1_92140.1, SHAE2_97190.1, SINT2_89740.1, SRDH2_94750.1, Smp_009430.1, EWB00_008584	2, 2, 2, 2, 2, 2, 2, 2	326, 327, 325, 324, 324, 320, 320, 320	1, 1, 1, 1, 1, 1, 1, 1	1, 3, 3, 1, 1, 1, 1, 1	SRDH2_94750.1	SCUR1_90450.1, SRDH2_94750.1	82.4	97.24770642201835
N0.HOG0005083	SBOV2_92190.1, SCUR1_91900.1, SGUI1_93580.1, SHAE2_98530.1, SINT2_91140.2, SRDH2_96550.2, Smp_127660.1, EWB00_008969	7, 6, 6, 6, 6, 6, 6, 7	250, 176, 229, 229, 229, 230, 230, 255	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 2, 2, 2, 2, 1	SCUR1_91900.1	SCUR1_91900.1, SRDH2_96550.2	87.6	66.52173913043478
N0.HOG0005071	SBOV2_90660.1, SCUR1_90310.1, SGUI1_92000.1, SHAE2_97050.1, SINT2_89600.1, SRDH2_94590.1, Smp_016870.2, EWB00_003181.1	9, 9, 9, 9, 9, 9, 9, 8	608, 608, 608, 607, 608, 608, 604, 493	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 2, 4	EWB00_003181.1	SBOV2_90660.1, EWB00_003181.1	71.3	79.76973684210526
N0.HOG0005069	SBOV2_90360.1, SCUR1_90050.1, SGUI1_91730.1, SHAE2_96770.1, SINT2_89310.1, SRDH2_94160.1, Smp_136640.1, EWB00_006715.2	4, 4, 4, 4, 4, 4, 4, 4	175, 175, 175, 175, 192, 175, 175, 175	1, 1, 1, 1, 1, 1, 1, 1	1, 3, 1, 1, 2, 1, 1, 2	SINT2_89310.1	SBOV2_90360.1, SINT2_89310.1	99.4	90.625
N0.HOG0005068	SBOV2_90350.1, SCUR1_90040.1, SGUI1_91720.1, SHAE2_96760.1, SINT2_89300.1, SRDH2_94150.1, Smp_136660.1, EWB00_006716.3	10, 10, 10, 10, 10, 10, 10, 10	655, 650, 651, 654, 650, 638, 640, 452	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 2, 4	EWB00_006716.3	SBOV2_90350.1, EWB00_006716.3	70.7	68.70229007633588
N0.HOG0005067	SBOV2_90260.1, SCUR1_89950.1, SGUI1_91610.1, SHAE2_96710.1, SINT2_89210.1, SRDH2_94050.1, Smp_176270.1, EWB00_006726.1	4, 4, 4, 4, 4, 4, 4, 5	379, 379, 379, 379, 379, 379, 379, 384	1, 1, 1, 1, 1, 1, 1, 1	2, 2, 1, 2, 1, 1, 1, 2	EWB00_006726.1	SBOV2_90260.1, EWB00_006726.1	82.8	98.4375
N0.HOG0005066	SBOV2_90070.1, SCUR1_89760.1, SGUI1_91410.2, SHAE2_96520.1, SINT2_89020.1, SRDH2_93870.2, Smp_147020.1, EWB00_011413	12, 12, 12, 12, 12, 12, 12, 12	1772, 1761, 1765, 1764, 1766, 1743, 1743, 1664	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 2, 1, 2, 3, 1, 1	SHAE2_96520.1	SHAE2_96520.1, SINT2_89020.1	97.3	99.94337485843715
N0.HOG0005065	SBOV2_90020.1, SCUR1_89680.1, SGUI1_91350.1, SHAE2_96470.1, SINT2_88960.1, SRDH2_93810.1, Smp_147000.1, EWB00_011408	5, 5, 5, 4, 4, 4, 4, 4	281, 276, 397, 255, 273, 273, 273, 278	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 5, 1, 1	SGUI1_91350.1	SGUI1_91350.1, SHAE2_96470.1	98.8	62.97229219143576
N0.HOG0008235	SBOV2_63810.1, SCUR1_64140.1, SGUI1_64740.1, SHAE2_68540.1, SINT2_62940.1, SRDH2_67980.1, Smp_091240.1, EWB00_008915	4, 4, 4, 4, 4, 4, 4, 9	283, 283, 283, 283, 283, 283, 283, 413	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 1, 1	EWB00_008915	SBOV2_63810.1, EWB00_008915	87.7	66.82808716707022
N0.HOG0005062	SBOV2_89630.1, SCUR1_87200.1, SGUI1_88860.1, SHAE2_93810.1, SINT2_86530.1, SRDH2_91300.1, Smp_030830.1, EWB00_004467.3	6, 6, 6, 6, 6, 6, 6, 4	379, 379, 379, 379, 379, 379, 379, 320	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 3, 1, 3	EWB00_004467.3	SBOV2_89630.1, EWB00_004467.3	81.4	80.73878627968337
N0.HOG0005061	SBOV2_89480.1, SCUR1_87360.1, SGUI1_89020.1, SHAE2_93980.1, SINT2_86680.1, SRDH2_91480.1, Smp_169960.1, EWB00_001068.1	2, 4, 4, 4, 4, 4, 4, 4	188, 260, 261, 260, 260, 261, 261, 255	1, 1, 1, 1, 1, 1, 1, 1	2, 1, 2, 1, 1, 2, 1, 2	SBOV2_89480.1	SBOV2_89480.1, SRDH2_91480.1	89.8	63.601532567049816
N0.HOG0005060	SBOV2_89420.1, SCUR1_87430.3, SGUI1_89080.5, SHAE2_94050.1, SINT2_86740.1, SRDH2_91560.1, Smp_087810.1, EWB00_001689	13, 13, 13, 13, 13, 13, 13, 12	647, 646, 647, 647, 647, 646, 646, 620	1, 1, 1, 1, 1, 1, 1, 1	2, 2, 1, 1, 2, 2, 1, 1	EWB00_001689	SBOV2_89420.1, EWB00_001689	84.8	95.82689335394127
N0.HOG0005059	SBOV2_89240.1, SCUR1_68790.1, SGUI1_89330.1, SHAE2_94290.1, SINT2_86940.1, SRDH2_91770.1, Smp_102960.1, EWB00_001971.2	4, 4, 4, 4, 4, 4, 4, 4	360, 360, 360, 360, 360, 360, 360, 363	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 1, 5	SBOV2_89240.1	SBOV2_89240.1, SCUR1_68790.1	98.9	99.72222222222223
N0.HOG0008237	SBOV2_63870.1, SCUR1_64200.1, SGUI1_64800.1, SHAE2_68600.1, SINT2_63000.1, SRDH2_68030.1, Smp_337590.1, EWB00_005584	3, 3, 3, 3, 3, 3, 3, 3	133, 133, 133, 133, 133, 133, 133, 133	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 1, 1	SBOV2_63870.1	SBOV2_63870.1, SCUR1_64200.1	100.0	99.24812030075188
N0.HOG0005070	SBOV2_90420.1, SCUR1_90100.3, SGUI1_91790.1, SHAE2_96830.1, SINT2_89380.3, SRDH2_94230.1, Smp_131230.1, EWB00_006707	12, 9, 13, 12, 10, 12, 12, 12	1061, 684, 1052, 1062, 848, 1075, 1075, 930	1, 1, 1, 1, 1, 1, 1, 1	1, 3, 1, 1, 3, 1, 1, 1	SCUR1_90100.3	SCUR1_90100.3, SRDH2_94230.1	83.9	63.53488372093024
N0.HOG0005084	SBOV2_92290.2, SCUR1_92000.2, SGUI1_93680.1, SHAE2_98660.1, SINT2_91240.1, SRDH2_96650.1, Smp_342330.1, EWB00_002057.1	21, 21, 21, 18, 21, 21, 21, 18	1215, 1215, 1216, 1098, 1216, 1212, 1212, 1094	1, 1, 1, 1, 1, 1, 1, 1	1, 2, 1, 2, 1, 1, 1, 3	SHAE2_98660.1	SGUI1_93680.1, SHAE2_98660.1	98.7	90.21381578947368
N0.HOG0005085	SBOV2_92400.1, SCUR1_92120.1, SGUI1_93820.1, SHAE2_98760.1, SINT2_91360.1, SRDH2_96740.1, Smp_332270.1, EWB00_005885	15, 15, 17, 15, 17, 15, 15, 11	1849, 1868, 1883, 1874, 1874, 1840, 1829, 1215	1, 1, 1, 1, 1, 1, 1, 2	1, 3, 2, 1, 1, 1, 1, 2	EWB00_005885	SGUI1_93820.1, EWB00_005885	45.1	76.57992565055763
N0.HOG0005088	SBOV2_92880.1, SCUR1_92610.1, SGUI1_94280.2, SHAE2_99240.1, SINT2_91850.1, SRDH2_97230.1, Smp_033350.1, EWB00_004772.1	12, 13, 12, 12, 11, 12, 12, 12	834, 834, 835, 833, 665, 826, 826, 800	1, 1, 1, 1, 1, 1, 1, 1	1, 2, 2, 2, 1, 1, 1, 2	SINT2_91850.1	SBOV2_92880.1, SINT2_91850.1	98.3	79.73621103117506
N0.HOG0008222	SBOV2_62930.1, SCUR1_63260.1, SGUI1_63790.1, SHAE2_67540.1, SINT2_62120.1, SRDH2_64960.1, Smp_026260.1, EWB00_007107	2, 2, 2, 2, 2, 2, 2, 4	215, 215, 215, 215, 215, 215, 215, 393	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 1, 1	EWB00_007107	SRDH2_64960.1, EWB00_007107	92.0	44.783715012722645
N0.HOG0008223	SBOV2_63100.1, SCUR1_63440.1, SGUI1_63950.1, SHAE2_67720.1, SINT2_62260.1, SRDH2_65170.1, Smp_150180.1, EWB00_008865	1, 1, 1, 1, 1, 1, 1, 1	772, 776, 773, 782, 813, 817, 786, 822	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 1, 1	EWB00_008865	SBOV2_63100.1, EWB00_008865	65.2	94.64720194647201
N0.HOG0008225	SBOV2_63370.1, SCUR1_63720.1, SGUI1_64290.1, SHAE2_68010.1, SINT2_62540.1, SRDH2_65460.1, Smp_345930.1, EWB00_010431	1, 1, 1, 1, 1, 1, 1, 2	366, 366, 366, 366, 366, 381, 323, 285	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 1, 1	EWB00_010431	SRDH2_65460.1, EWB00_010431	46.1	26.77165354330709
N0.HOG0008226	SBOV2_63390.1, SCUR1_63740.1, SGUI1_64310.1, SHAE2_68030.1, SINT2_62560.1, SRDH2_65480.1, Smp_210720.1, EWB00_010432	7, 7, 7, 7, 7, 7, 7, 5	149, 149, 149, 149, 149, 149, 149, 129	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 1, 1	EWB00_010432	SBOV2_63390.1, EWB00_010432	93.4	51.006711409395976
N0.HOG0008227	SBOV2_63410.2, SCUR1_63760.1, SGUI1_64330.1, SHAE2_68050.1, SINT2_62580.1, SRDH2_65500.1, Smp_087690.1, EWB00_010435	5, 5, 5, 5, 5, 5, 5, 5	363, 363, 363, 363, 363, 363, 409, 236	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 1, 1	EWB00_010435	SRDH2_65500.1, EWB00_010435	86.3	64.46280991735537
N0.HOG0008228	SBOV2_63420.1, SCUR1_63770.1, SGUI1_64340.1, SHAE2_68060.1, SINT2_62590.1, SRDH2_65510.1, Smp_156250.1, EWB00_010437	1, 1, 1, 1, 1, 1, 1, 1	210, 209, 210, 205, 209, 206, 206, 207	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 1, 1	SCUR1_63770.1	SCUR1_63770.1, SHAE2_68060.1	95.2	99.52153110047847
N0.HOG0008229	SBOV2_63510.1, SCUR1_63860.1, SGUI1_64450.1, SHAE2_68190.1, SINT2_62680.1, SRDH2_65610.1, Smp_156310.1, EWB00_008882	2, 2, 2, 4, 2, 2, 2, 1	298, 295, 298, 347, 313, 306, 165, 87	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 1, 1	EWB00_008882	SCUR1_63860.1, EWB00_008882	38.1	21.35593220338983
N0.HOG0008230	SBOV2_63630.1, SCUR1_63980.1, SGUI1_64590.1, SHAE2_68310.1, SINT2_62790.1, SRDH2_67640.1, Smp_023710.1, EWB00_008898	1, 1, 1, 1, 1, 1, 1, 3	421, 421, 421, 421, 421, 424, 408, 305	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 1, 1	Smp_023710.1	SRDH2_67640.1, Smp_023710.1	95.6	96.22641509433963
N0.HOG0005107	SBOV2_95560.1, SCUR1_94830.2, SGUI1_96560.1, SHAE2_99830.1, SINT2_94300.1, SRDH2_99600.1, Smp_097590.1, EWB00_006668	19, 16, 18, 18, 18, 18, 18, 18	1237, 1225, 1292, 1293, 1293, 1286, 1289, 1296	1, 1, 1, 1, 1, 1, 1, 1	1, 5, 1, 1, 1, 1, 1, 1	SCUR1_94830.2	SCUR1_94830.2, EWB00_006668	83.2	94.36728395061729
N0.HOG0005106	SBOV2_95520.1, SCUR1_94790.2, SGUI1_96530.1, SHAE2_87920.1, SINT2_94340.1, SRDH2_99460.1, Smp_031680.1, EWB00_006662.2	11, 11, 11, 9, 11, 11, 10, 11	714, 719, 712, 643, 712, 680, 696, 660	1, 1, 1, 1, 1, 1, 1, 1	1, 2, 1, 1, 1, 3, 1, 2	SHAE2_87920.1	SCUR1_94790.2, SHAE2_87920.1	95.2	89.84700973574408
N0.HOG0005105	SBOV2_95510.1, SCUR1_94780.2, SGUI1_96520.2, SHAE2_101700.1, SINT2_94350.1, SRDH2_99470.3, Smp_139330.1, EWB00_006661	11, 11, 10, 11, 11, 11, 11, 11	743, 607, 572, 736, 750, 744, 732, 712	1, 1, 1, 1, 1, 1, 1, 1	1, 2, 2, 1, 1, 3, 1, 1	SGUI1_96520.2	SBOV2_95510.1, SGUI1_96520.2	97.6	77.38896366083445
N0.HOG0005104	SBOV2_95320.1, SCUR1_95400.1, SGUI1_96380.1, SHAE2_101530.1, SINT2_94470.1, SRDH2_99430.1, Smp_343290.1, EWB00_006649	21, 15, 24, 26, 16, 26, 22, 26	1494, 873, 1355, 1726, 1324, 1684, 1258, 1680	1, 2, 1, 1, 2, 1, 1, 1	1, 3, 1, 2, 2, 1, 1, 1	SCUR1_95400.1	SCUR1_95400.1, SINT2_94470.1	94.7	35.87613293051359
N0.HOG0005103	SBOV2_94930.1, SCUR1_94510.1, SGUI1_96250.1, SHAE2_101380.1, SINT2_93940.1, SRDH2_99320.1, Smp_139420.1, EWB00_009976	5, 5, 5, 5, 5, 6, 5, 5	246, 326, 326, 330, 324, 335, 333, 316	1, 1, 1, 1, 1, 1, 1, 1	1, 2, 1, 1, 2, 3, 1, 1	SBOV2_94930.1	SBOV2_94930.1, SRDH2_99320.1	72.9	73.73134328358208
N0.HOG0005102	SBOV2_94810.1, SCUR1_94400.1, SGUI1_96140.1, SHAE2_101270.1, SINT2_93840.1, SRDH2_99180.1, Smp_267210.1, EWB00_003757.1	3, 3, 3, 2, 3, 3, 3, 3	127, 127, 127, 125, 127, 124, 124, 137	1, 1, 1, 1, 1, 1, 1, 1	2, 1, 1, 1, 3, 1, 1, 2	EWB00_003757.1	SBOV2_94810.1, EWB00_003757.1	67.9	81.75182481751825
N0.HOG0008231	SBOV2_63640.1, SCUR1_63990.1, SGUI1_64600.1, SHAE2_68320.1, SINT2_62800.1, SRDH2_67650.1, Smp_134960.1, EWB00_008900	1, 1, 1, 1, 1, 1, 1, 1	381, 386, 381, 386, 386, 398, 398, 382	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 1, 1	SRDH2_67650.1	SRDH2_67650.1, EWB00_008900	79.0	91.95979899497488
N0.HOG0005100	SBOV2_94450.1, SCUR1_94080.1, SGUI1_95770.1, SHAE2_100930.1, SINT2_93470.1, SRDH2_98840.1, Smp_125260.1, EWB00_004797.2	10, 10, 10, 10, 10, 10, 10, 9	320, 320, 320, 320, 320, 318, 320, 248	1, 1, 1, 1, 1, 1, 1, 1	2, 1, 1, 3, 1, 1, 1, 2	EWB00_004797.2	SBOV2_94450.1, EWB00_004797.2	77.6	61.25000000000001
N0.HOG0005099	SBOV2_94370.2, SCUR1_94000.1, SGUI1_95670.1, SHAE2_100860.3, SINT2_93380.1, SRDH2_98760.1, Smp_247020.1, EWB00_005837.4	7, 7, 6, 7, 7, 7, 7, 6	454, 454, 423, 454, 454, 430, 454, 422	1, 2, 1, 1, 1, 1, 1, 1	1, 2, 2, 1, 1, 2, 1, 2	SGUI1_95670.1	SBOV2_94370.2, SGUI1_95670.1	100.0	92.73127753303964
N0.HOG0005098	SBOV2_94090.2, SCUR1_93750.1, SGUI1_95410.1, SHAE2_100530.1, SINT2_93050.1, SRDH2_98440.1, Smp_166660.1, EWB00_001450	4, 6, 6, 6, 6, 2, 4, 6	360, 402, 408, 412, 382, 211, 310, 351	1, 1, 1, 1, 1, 1, 1, 1	3, 1, 2, 1, 1, 1, 2, 1	SRDH2_98440.1	SCUR1_93750.1, SRDH2_98440.1	51.8	60.94527363184079
N0.HOG0005096	SBOV2_93790.1, SCUR1_93450.2, SGUI1_95130.1, SHAE2_100250.1, SINT2_92750.1, SRDH2_98130.1, Smp_343720.1, EWB00_004785.2	12, 12, 12, 12, 12, 12, 13, 13	936, 936, 936, 936, 935, 928, 940, 940	1, 1, 1, 1, 1, 1, 1, 1	1, 2, 2, 2, 1, 1, 1, 2	SRDH2_98130.1	SBOV2_93790.1, SRDH2_98130.1	94.0	98.3974358974359
N0.HOG0005095	SBOV2_93720.1, SCUR1_93360.1, SGUI1_95060.2, SHAE2_100180.1, SINT2_92670.1, SRDH2_98060.1, Smp_041500.1, EWB00_004777.2	6, 6, 5, 6, 7, 2, 6, 7	148, 148, 112, 148, 145, 64, 148, 198	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 2, 2, 1, 1, 2, 2	SRDH2_98060.1	SBOV2_93720.1, SRDH2_98060.1	97.6	28.37837837837838
N0.HOG0005093	SBOV2_93580.2, SCUR1_93250.2, SGUI1_94960.3, SHAE2_100070.2, SINT2_92530.1, SRDH2_97920.2, Smp_041370.2, EWB00_000566	7, 5, 7, 7, 7, 7, 7, 7	590, 557, 590, 590, 590, 590, 590, 653	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 2, 1, 2, 3, 1, 1	EWB00_000566	SCUR1_93250.2, EWB00_000566	94.5	83.92036753445635
N0.HOG0005092	SBOV2_93570.1, SCUR1_93240.1, SGUI1_94950.1, SHAE2_100060.1, SINT2_92520.2, SRDH2_97910.1, Smp_144740.1, EWB00_000564	17, 14, 17, 17, 17, 17, 14, 13	1160, 1047, 1160, 1161, 1160, 1162, 1048, 435	1, 1, 1, 1, 1, 1, 1, 1	1, 2, 2, 2, 2, 1, 1, 1	EWB00_000564	SGUI1_94950.1, EWB00_000564	77.6	31.120689655172413
N0.HOG0005091	SBOV2_93320.1, SCUR1_93010.4, SGUI1_94710.1, SHAE2_99690.1, SINT2_92270.1, SRDH2_97700.1, Smp_300790.1, EWB00_008942.2	11, 10, 11, 10, 11, 11, 11, 10	608, 517, 608, 517, 608, 608, 608, 550	1, 1, 1, 1, 1, 1, 2, 1	1, 2, 1, 2, 1, 1, 2, 2	SCUR1_93010.4	SBOV2_93320.1, SCUR1_93010.4	99.4	84.70394736842105
N0.HOG0005090	SBOV2_93140.1, SCUR1_92840.1, SGUI1_94530.1, SHAE2_99480.1, SINT2_92080.1, SRDH2_97500.1, Smp_140000.1, EWB00_009686	8, 8, 8, 8, 8, 7, 8, 1	279, 279, 279, 279, 279, 214, 279, 43	1, 1, 1, 1, 1, 1, 1, 1	2, 3, 2, 1, 1, 1, 1, 1	EWB00_009686	SBOV2_93140.1, EWB00_009686	88.4	15.412186379928317
N0.HOG0008232	SBOV2_63650.1, SCUR1_64000.1, SGUI1_64620.1, SHAE2_68330.1, SINT2_62810.1, SRDH2_67660.1, Smp_326670.1, EWB00_008902	1, 1, 1, 1, 1, 1, 1, 2	443, 439, 440, 441, 444, 455, 489, 408	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 1, 1	EWB00_008902	SCUR1_64000.1, EWB00_008902	72.4	94.98861047835992
N0.HOG0005055	SBOV2_88500.1, SCUR1_88450.1, SGUI1_90080.1, SHAE2_95070.1, SINT2_87710.1, SRDH2_93060.1, Smp_059710.1, EWB00_001939	5, 3, 5, 5, 5, 5, 5, 5	420, 378, 402, 401, 421, 401, 401, 407	1, 1, 1, 1, 1, 1, 1, 1	1, 4, 1, 1, 2, 1, 1, 1	SCUR1_88450.1	SCUR1_88450.1, SINT2_87710.1	99.5	88.83610451306413
N0.HOG0005053	SBOV2_88100.2, SCUR1_97400.1, SGUI1_90450.1, SHAE2_95480.1, SINT2_88090.1, SRDH2_92640.1, Smp_025030.1, EWB00_001884	4, 3, 4, 4, 4, 4, 4, 4	457, 445, 637, 636, 645, 641, 643, 628	1, 3, 1, 1, 1, 1, 1, 1	2, 4, 1, 1, 1, 1, 1, 1	SCUR1_97400.1	SCUR1_97400.1, SINT2_88090.1	96.0	69.61240310077518
N0.HOG0005052	SBOV2_88070.1, SCUR1_88840.1, SGUI1_90480.1, SHAE2_95520.2, SINT2_88120.1, SRDH2_92600.1, Smp_154100.1, EWB00_001879	1, 1, 1, 1, 1, 1, 1, 1	796, 816, 773, 728, 805, 823, 819, 218	1, 1, 1, 1, 1, 1, 1, 2	2, 1, 1, 2, 1, 2, 1, 2	EWB00_001879	SCUR1_88840.1, EWB00_001879	59.4	27.450980392156865
N0.HOG0005050	SBOV2_8800.1, SCUR1_8860.2, SGUI1_8260.1, SHAE2_10800.2, SINT2_8700.1, SRDH2_9240.2, Smp_011710.1, EWB00_003062.2	6, 6, 6, 6, 6, 6, 6, 6	430, 430, 430, 430, 430, 430, 430, 433	1, 1, 1, 1, 1, 1, 1, 1	1, 2, 1, 1, 1, 1, 1, 4	SBOV2_8800.1	SBOV2_8800.1, SCUR1_8860.2	98.8	99.76744186046511
N0.HOG0005017	SBOV2_83680.1, SCUR1_83490.1, SGUI1_84850.1, SHAE2_89760.1, SINT2_82640.1, SRDH2_86920.1, Smp_210980.1, EWB00_007291	15, 6, 6, 6, 6, 4, 6, 9	1134, 786, 784, 782, 784, 609, 775, 622	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 5, 1, 1	SBOV2_83680.1	SBOV2_83680.1, SRDH2_86920.1	81.7	53.086419753086425
N0.HOG0008243	SBOV2_64250.1, SCUR1_64520.1, SGUI1_65120.1, SHAE2_68930.1, SINT2_63340.1, SRDH2_67040.1, Smp_342680.1, EWB00_008711	10, 10, 9, 11, 10, 10, 10, 10	957, 957, 807, 945, 957, 971, 866, 967	1, 1, 1, 1, 1, 1, 1, 1	1, 1, 1, 1, 1, 1, 1, 1	SGUI1_65120.1	SGUI1_65120.1, Smp_342680.1	74.4	83.37182448036951
